LATITUDE,LONGITUDE,ID,TOTAL_DELIVERIES,KG_DEMAND
4.6250036,-74.1687746,18393,4,99
4.6031779,-74.1325692,16415,9,885
4.5669675,-74.1466144,374,30,423
4.5834568,-74.2097697,1849,98,72
4.7142083,-74.0551584,1083,12,117
4.6501224,-74.1697358,2721,37,452
4.5791449,-74.0815742,610,35,425
4.5711256,-74.2173996,14894,148,131
4.6617489,-74.1375889,22369,28,98
4.5846367,-74.2114674,167,75,192
4.5787821,-74.1143247,14183,6,54
4.6031687,-74.1260376,522,16,525
4.6607220,-74.0631068,14985,3,1000
4.5712315,-74.1244489,15310,125,93
4.7149676,-74.0552071,3881,21,115
4.5920033,-74.1972518,24750,3,250
4.5645186,-74.1905430,838,7,466
4.9896259,-73.8752680,21949,16,52
4.7082655,-74.1403871,16428,49,583
4.5395413,-74.0914192,6181,120,358
4.5757672,-74.1551116,736,25,318
4.7225790,-74.0524460,20331,4,140
4.6021780,-74.1969561,391,7,200
4.5813400,-74.0959965,775,49,351
4.6520253,-74.0825396,7506,7,3
4.5910478,-74.1404117,18168,49,167
4.7125450,-74.0590310,3484,7,54
4.5799003,-74.0996729,18253,5,121
4.5487099,-74.1617196,729,150,312
4.6418584,-74.1747921,7016,8,35
4.6979680,-74.0698973,16167,19,51
4.7071043,-74.1318833,696,18,622
4.3315041,-74.3956156,23273,13,760
4.5878698,-74.1812432,16960,26,79
4.6605516,-74.0663243,26439,3,3833
4.5543976,-74.1371969,4720,90,155
4.5342963,-74.1106830,13710,1,8
4.5788356,-74.2011744,13002,26,147
4.6186093,-74.0714030,8002,63,320
4.5561725,-74.0956153,6367,287,341
4.7469938,-74.1148553,10091,50,54
4.6961183,-74.1115337,19473,46,137
4.6099374,-74.1973884,304,57,1056
4.7088075,-74.1308152,14636,129,187
4.6113345,-74.0952882,12136,12,128
4.5777706,-74.2302896,16269,15,88
4.7142044,-74.2309631,23875,99,32
4.3257799,-74.4034233,24973,20,72
4.6249309,-74.1888581,15265,19,32
4.7424557,-74.1101239,2724,35,1023
4.5984786,-74.1811366,13691,96,79
4.5818612,-74.0769552,4619,6,84
4.6824355,-74.0682003,18239,298,100
