LATITUDE,LONGITUDE,CLIENT_LIST,CLIENT_WEIGHT,OWN
4.64,-74.08,7715;22033;6348;15020;3459;20527;5854;7411;8049;15193,10,0
4.49,-74.12,20843;1478;11768;1494;17088;1483;3246;1513;14400,9,0
4.58,-74.22,284;8898;376;241;8325;8356;403;233;6227;4144;978;499;11518;10397;10099;3004;17035;10670;2335;12533;72;450;388;212;1753;6801;7406;8509;6232;6944;8510;20018;20445;11321;8897;6184,36,0
4.64,-74.15,16289;15975;10194;883;3115;22179;11419;726;16223;7373;4280;4264,12,0
4.74,-74.07,1768;770;1773,3,0
4.69,-74.12,19734;17075;1208;15917;20186;10217,6,0
4.61,-74.22,1051;13146;18917,3,0
4.64,-74.16,16138;16166;5104;2365;3214;16159;16334;2684;2311;2675;2353;2281;77;3377;4295;2713;3616;3625;4085;4170;1353;15360;2303;20217;7263;528;13685;503;11889;3138,30,0
5.03,-74.01,1130;1120;18872,3,0
4.64,-74.11,6279,1,0
4.51,-74.15,1676,1,0
4.9,-74.03,19860,1,0
4.71,-74.11,14925;15685;6351;13647;10765;22180;19782;680;7052;7528;4408;1346;13580;609;4485;3393;5237;8246;21262;1254;3737,21,0
4.62,-74.17,18905;1647;430;1946;8631;16127;4947;10241;2598;2817;14007;20979;4053;186;11341;18877;419;7188;4554;15140;21344;3216;12181;4164;4291;15271;2841;10976;10242;4711;1802;1700;14725,33,0
4.72,-74.07,17634;16011;575;2115;16215;15998;16824;16792;15994;16005;8643;5059;14510;14493;10437;17478;13901;6607;8139;615;13279;18386;11943;16603;2110;14502;14495,27,0
4.72,-74.1,5929;14934;6011;5926;16959;905;12631;3511;21889;3403;11632,11,0
4.56,-74.09,7566;9387;6412;6417;5431;20569;13383;13949;13458;18698;8278;6030;13031;6425;13744;13725;5874;5240;7568;12457;11821;20703;13786;18371;12382,25,0
4.51,-74.11,5274;3019;6121;5947;5803;1476;6117;9969;11557;10165;10030;3877;12568;2372;788;13024;19100;13652;9977;10065;572;5393;2363;8338;17971;5271;6872;5789;10029;5985;6873;18759;10025;2767;1709;4195;10779;11716,38,0
4.62,-74.18,18530;13740;4103;7458;13145;7455;6501;6850;10746;10417;21687;801;10418;2616;363;6536;346;4641;13551;11200;14425;4652,22,0
4.55,-74.1,5594;18818;5607;15394;21814;2808;1428;7603;5618;7277;7502;5612;15447;15396;2028;7533;7262,17,0
4.7,-74.03,6508;7618;5873;19388;14170;17403;14558;3790;18282,9,0
4.71,-74.22,18494;16015;15211;16384;17769;16361;859;15073;17154,9,0
4.74,-74.05,7614;13372;4050;257;13846;6401;14085;14675,8,0
4.6,-74.13,7598;7620;13252;15321;6672;1233;7586;7612;12922;3653;344;15202;129;21000;12795;16168;7269;6403;7694;7580;248;7577;7397;598;8954;14659;2886;16415;17842;20748;3484;17853;12596;11172;19380,35,0
4.87,-74.06,3929;17037;3934;17043;21060;8077;17029,7,0
4.6,-74.19,8365;5690;490;7517;282;243;18710;8367;221;13628;8368;17218;2243;10223;13268;10550;7550;14096;5888;7523;3109;15138;1437;20;6991;17946;11421;466;11662;12712;19760;20261;18583;1054;1989;5604;16694;16682,38,0
4.61,-74.12,16659;7824;9637;1023;1695;5616;6811;13113;6014;2108;10617;5661;13114;11009;20318;13990,16,0
